Observation id	Observation date	Description	Observation type	Source	Time offset (s)	Coding duration	Media duration (s)	FPS (frame/s)	Subject	Observation duration by subject by observation	Behavior	Behavioral category	Behavior type	Start (s)	Stop (s)	Duration (s)	Media file name	Image index start	Image index stop	Image file path start	Image file path stop	Comment start	Comment stop
P025_R1_B	2026-08-19 21:26:31.606		Media file	player #1:实验数据_校准版/P025/P025_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P025/P025_R1_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	340.333	528.800|528.800	30.000|30.000	No focal subject	340.3	GAZE_PHONE	GAZE	STATE	130.600	131.699	1.099	实验数据_校准版/P025/P025_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4	3918	NA				
P025_R1_B	2026-08-19 21:26:31.606		Media file	player #1:实验数据_校准版/P025/P025_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P025/P025_R1_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	340.333	528.800|528.800	30.000|30.000	No focal subject	340.3	GAZE_HMI	GAZE	STATE	131.700	132.866	1.166	实验数据_校准版/P025/P025_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4	3951	NA				
P025_R1_B	2026-08-19 21:26:31.606		Media file	player #1:实验数据_校准版/P025/P025_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P025/P025_R1_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	340.333	528.800|528.800	30.000|30.000	No focal subject	340.3	GAZE_OTHER	GAZE	STATE	132.867	133.699	0.832	实验数据_校准版/P025/P025_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4	3986	NA				
P025_R1_B	2026-08-19 21:26:31.606		Media file	player #1:实验数据_校准版/P025/P025_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P025/P025_R1_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	340.333	528.800|528.800	30.000|30.000	No focal subject	340.3	GAZE_SCENE	GAZE	STATE	133.700	134.366	0.666	实验数据_校准版/P025/P025_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4	4011	NA				
P025_R1_B	2026-08-19 21:26:31.606		Media file	player #1:实验数据_校准版/P025/P025_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P025/P025_R1_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	340.333	528.800|528.800	30.000|30.000	No focal subject	340.3	GAZE_HMI	GAZE	STATE	134.367	134.999	0.632	实验数据_校准版/P025/P025_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4	4031	NA				
P025_R1_B	2026-08-19 21:26:31.606		Media file	player #1:实验数据_校准版/P025/P025_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P025/P025_R1_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	340.333	528.800|528.800	30.000|30.000	No focal subject	340.3	GAZE_PHONE	GAZE	STATE	135.000	137.499	2.499	实验数据_校准版/P025/P025_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4	4050	NA				
P025_R1_B	2026-08-19 21:26:31.606		Media file	player #1:实验数据_校准版/P025/P025_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P025/P025_R1_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	340.333	528.800|528.800	30.000|30.000	No focal subject	340.3	GAZE_HMI	GAZE	STATE	137.500	141.166	3.666	实验数据_校准版/P025/P025_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4	4125	NA				
P025_R1_B	2026-08-19 21:26:31.606		Media file	player #1:实验数据_校准版/P025/P025_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P025/P025_R1_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	340.333	528.800|528.800	30.000|30.000	No focal subject	340.3	GAZE_PHONE	GAZE	STATE	141.167	176.832	35.665	实验数据_校准版/P025/P025_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4	4235	NA				
P025_R1_B	2026-08-19 21:26:31.606		Media file	player #1:实验数据_校准版/P025/P025_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P025/P025_R1_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	340.333	528.800|528.800	30.000|30.000	No focal subject	340.3	GAZE_HMI	GAZE	STATE	176.833	179.532	2.699	实验数据_校准版/P025/P025_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4	5305	NA				
P025_R1_B	2026-08-19 21:26:31.606		Media file	player #1:实验数据_校准版/P025/P025_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P025/P025_R1_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	340.333	528.800|528.800	30.000|30.000	No focal subject	340.3	GAZE_PHONE	GAZE	STATE	179.533	181.166	1.633	实验数据_校准版/P025/P025_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4	5386	NA				
