Observation id	Observation date	Description	Observation type	Source	Time offset (s)	Coding duration	Media duration (s)	FPS (frame/s)	Subject	Observation duration by subject by observation	Behavior	Behavioral category	Behavior type	Start (s)	Stop (s)	Duration (s)	Media file name	Image index start	Image index stop	Image file path start	Image file path stop	Comment start	Comment stop
P022_R2_B	2026-08-19 19:56:19.250		Media file	player #1:实验数据_校准版/P022/P022_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P022/P022_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	322.300	396.933|396.933	30.000|30.000	No focal subject	322.236	GAZE_PHONE	GAZE	STATE	50.800	53.499	2.699	实验数据_校准版/P022/P022_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	1524	NA				
P022_R2_B	2026-08-19 19:56:19.250		Media file	player #1:实验数据_校准版/P022/P022_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P022/P022_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	322.300	396.933|396.933	30.000|30.000	No focal subject	322.236	GAZE_HMI	GAZE	STATE	53.500	54.732	1.232	实验数据_校准版/P022/P022_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	1605	NA				
P022_R2_B	2026-08-19 19:56:19.250		Media file	player #1:实验数据_校准版/P022/P022_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P022/P022_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	322.300	396.933|396.933	30.000|30.000	No focal subject	322.236	GAZE_PHONE	GAZE	STATE	54.733	56.699	1.966	实验数据_校准版/P022/P022_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	1642	NA				
P022_R2_B	2026-08-19 19:56:19.250		Media file	player #1:实验数据_校准版/P022/P022_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P022/P022_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	322.300	396.933|396.933	30.000|30.000	No focal subject	322.236	GAZE_SCENE	GAZE	STATE	56.700	59.899	3.199	实验数据_校准版/P022/P022_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	1701	NA				
P022_R2_B	2026-08-19 19:56:19.250		Media file	player #1:实验数据_校准版/P022/P022_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P022/P022_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	322.300	396.933|396.933	30.000|30.000	No focal subject	322.236	GAZE_HMI	GAZE	STATE	59.900	61.699	1.799	实验数据_校准版/P022/P022_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	1797	NA				
P022_R2_B	2026-08-19 19:56:19.250		Media file	player #1:实验数据_校准版/P022/P022_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P022/P022_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	322.300	396.933|396.933	30.000|30.000	No focal subject	322.236	GAZE_PHONE	GAZE	STATE	61.700	63.499	1.799	实验数据_校准版/P022/P022_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	1851	NA				
P022_R2_B	2026-08-19 19:56:19.250		Media file	player #1:实验数据_校准版/P022/P022_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P022/P022_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	322.300	396.933|396.933	30.000|30.000	No focal subject	322.236	GAZE_SCENE	GAZE	STATE	63.500	69.666	6.166	实验数据_校准版/P022/P022_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	1905	NA				
P022_R2_B	2026-08-19 19:56:19.250		Media file	player #1:实验数据_校准版/P022/P022_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P022/P022_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	322.300	396.933|396.933	30.000|30.000	No focal subject	322.236	GAZE_HMI	GAZE	STATE	69.667	72.066	2.399	实验数据_校准版/P022/P022_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	2090	NA				
P022_R2_B	2026-08-19 19:56:19.250		Media file	player #1:实验数据_校准版/P022/P022_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P022/P022_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	322.300	396.933|396.933	30.000|30.000	No focal subject	322.236	GAZE_PHONE	GAZE	STATE	72.067	73.599	1.532	实验数据_校准版/P022/P022_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	2162	NA				
P022_R2_B	2026-08-19 19:56:19.250		Media file	player #1:实验数据_校准版/P022/P022_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P022/P022_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	322.300	396.933|396.933	30.000|30.000	No focal subject	322.236	GAZE_OTHER	GAZE	STATE	73.600	75.099	1.499	实验数据_校准版/P022/P022_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	2208	NA				
P022_R2_B	2026-08-19 19:56:19.250		Media file	player #1:实验数据_校准版/P022/P022_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P022/P022_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	322.300	396.933|396.933	30.000|30.000	No focal subject	322.236	GAZE_HMI	GAZE	STATE	75.100	100.966	25.866	实验数据_校准版/P022/P022_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	2253	NA				
P022_R2_B	2026-08-19 19:56:19.250		Media file	player #1:实验数据_校准版/P022/P022_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P022/P022_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	322.300	396.933|396.933	30.000|30.000	No focal subject	322.236	GAZE_PHONE	GAZE	STATE	100.967	119.466	18.499	实验数据_校准版/P022/P022_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	3029	NA				
P022_R2_B	2026-08-19 19:56:19.250		Media file	player #1:实验数据_校准版/P022/P022_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P022/P022_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	322.300	396.933|396.933	30.000|30.000	No focal subject	322.236	GAZE_SCENE	GAZE	STATE	119.467	121.632	2.165	实验数据_校准版/P022/P022_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	3584	NA				
P022_R2_B	2026-08-19 19:56:19.250		Media file	player #1:实验数据_校准版/P022/P022_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P022/P022_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	322.300	396.933|396.933	30.000|30.000	No focal subject	322.236	GAZE_PHONE	GAZE	STATE	121.633	126.199	4.566	实验数据_校准版/P022/P022_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	3649	NA				
P022_R2_B	2026-08-19 19:56:19.250		Media file	player #1:实验数据_校准版/P022/P022_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P022/P022_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	322.300	396.933|396.933	30.000|30.000	No focal subject	322.236	GAZE_HMI	GAZE	STATE	126.200	127.666	1.466	实验数据_校准版/P022/P022_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	3786	NA				
P022_R2_B	2026-08-19 19:56:19.250		Media file	player #1:实验数据_校准版/P022/P022_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P022/P022_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	322.300	396.933|396.933	30.000|30.000	No focal subject	322.236	GAZE_SCENE	GAZE	STATE	127.667	142.966	15.299	实验数据_校准版/P022/P022_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	3830	NA				
P022_R2_B	2026-08-19 19:56:19.250		Media file	player #1:实验数据_校准版/P022/P022_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P022/P022_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	322.300	396.933|396.933	30.000|30.000	No focal subject	322.236	GAZE_HMI	GAZE	STATE	142.967	144.466	1.499	实验数据_校准版/P022/P022_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	4289	NA				
P022_R2_B	2026-08-19 19:56:19.250		Media file	player #1:实验数据_校准版/P022/P022_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P022/P022_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	322.300	396.933|396.933	30.000|30.000	No focal subject	322.236	GAZE_PHONE	GAZE	STATE	144.467	152.966	8.499	实验数据_校准版/P022/P022_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	4334	NA				
P022_R2_B	2026-08-19 19:56:19.250		Media file	player #1:实验数据_校准版/P022/P022_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P022/P022_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	322.300	396.933|396.933	30.000|30.000	No focal subject	322.236	GAZE_SCENE	GAZE	STATE	152.967	164.499	11.532	实验数据_校准版/P022/P022_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	4589	NA				
P022_R2_B	2026-08-19 19:56:19.250		Media file	player #1:实验数据_校准版/P022/P022_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P022/P022_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	322.300	396.933|396.933	30.000|30.000	No focal subject	322.236	GAZE_HMI	GAZE	STATE	164.500	165.166	0.666	实验数据_校准版/P022/P022_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	4935	NA				
P022_R2_B	2026-08-19 19:56:19.250		Media file	player #1:实验数据_校准版/P022/P022_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P022/P022_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	322.300	396.933|396.933	30.000|30.000	No focal subject	322.236	GAZE_SCENE	GAZE	STATE	165.167	167.532	2.365	实验数据_校准版/P022/P022_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	4955	NA				
