Observation id	Observation date	Description	Observation type	Source	Time offset (s)	Coding duration	Media duration (s)	FPS (frame/s)	Subject	Observation duration by subject by observation	Behavior	Behavioral category	Behavior type	Start (s)	Stop (s)	Duration (s)	Media file name	Image index start	Image index stop	Image file path start	Image file path stop	Comment start	Comment stop
P039_R1_B	2026-08-19 01:47:40.387		Media file	player #1:实验数据_校准版/P039/P039_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P039/P039_R1_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	349.666	417.533|417.533	30.000|30.000	No focal subject	349.604	GAZE_SCENE	GAZE	STATE	50.867	53.199	2.332	实验数据_校准版/P039/P039_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4	1526	NA				
P039_R1_B	2026-08-19 01:47:40.387		Media file	player #1:实验数据_校准版/P039/P039_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P039/P039_R1_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	349.666	417.533|417.533	30.000|30.000	No focal subject	349.604	GAZE_HMI	GAZE	STATE	53.200	79.866	26.666	实验数据_校准版/P039/P039_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4	1596	NA				
P039_R1_B	2026-08-19 01:47:40.387		Media file	player #1:实验数据_校准版/P039/P039_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P039/P039_R1_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	349.666	417.533|417.533	30.000|30.000	No focal subject	349.604	GAZE_PHONE	GAZE	STATE	79.867	88.332	8.465	实验数据_校准版/P039/P039_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4	2396	NA				
P039_R1_B	2026-08-19 01:47:40.387		Media file	player #1:实验数据_校准版/P039/P039_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P039/P039_R1_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	349.666	417.533|417.533	30.000|30.000	No focal subject	349.604	GAZE_HMI	GAZE	STATE	88.333	94.566	6.233	实验数据_校准版/P039/P039_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4	2650	NA				
P039_R1_B	2026-08-19 01:47:40.387		Media file	player #1:实验数据_校准版/P039/P039_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P039/P039_R1_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	349.666	417.533|417.533	30.000|30.000	No focal subject	349.604	GAZE_SCENE	GAZE	STATE	94.567	95.566	0.999	实验数据_校准版/P039/P039_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4	2837	NA				
P039_R1_B	2026-08-19 01:47:40.387		Media file	player #1:实验数据_校准版/P039/P039_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P039/P039_R1_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	349.666	417.533|417.533	30.000|30.000	No focal subject	349.604	GAZE_HMI	GAZE	STATE	95.567	105.532	9.965	实验数据_校准版/P039/P039_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4	2867	NA				
P039_R1_B	2026-08-19 01:47:40.387		Media file	player #1:实验数据_校准版/P039/P039_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P039/P039_R1_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	349.666	417.533|417.533	30.000|30.000	No focal subject	349.604	GAZE_PHONE	GAZE	STATE	105.533	108.466	2.933	实验数据_校准版/P039/P039_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4	3166	NA				
P039_R1_B	2026-08-19 01:47:40.387		Media file	player #1:实验数据_校准版/P039/P039_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P039/P039_R1_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	349.666	417.533|417.533	30.000|30.000	No focal subject	349.604	GAZE_HMI	GAZE	STATE	108.467	114.766	6.299	实验数据_校准版/P039/P039_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4	3254	NA				
P039_R1_B	2026-08-19 01:47:40.387		Media file	player #1:实验数据_校准版/P039/P039_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P039/P039_R1_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	349.666	417.533|417.533	30.000|30.000	No focal subject	349.604	GAZE_SCENE	GAZE	STATE	114.767	118.499	3.732	实验数据_校准版/P039/P039_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4	3443	NA				
P039_R1_B	2026-08-19 01:47:40.387		Media file	player #1:实验数据_校准版/P039/P039_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P039/P039_R1_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	349.666	417.533|417.533	30.000|30.000	No focal subject	349.604	GAZE_OTHER	GAZE	STATE	118.500	119.299	0.799	实验数据_校准版/P039/P039_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4	3555	NA				
P039_R1_B	2026-08-19 01:47:40.387		Media file	player #1:实验数据_校准版/P039/P039_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P039/P039_R1_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	349.666	417.533|417.533	30.000|30.000	No focal subject	349.604	GAZE_HMI	GAZE	STATE	119.300	125.732	6.432	实验数据_校准版/P039/P039_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4	3579	NA				
P039_R1_B	2026-08-19 01:47:40.387		Media file	player #1:实验数据_校准版/P039/P039_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P039/P039_R1_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	349.666	417.533|417.533	30.000|30.000	No focal subject	349.604	GAZE_PHONE	GAZE	STATE	125.733	127.199	1.466	实验数据_校准版/P039/P039_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4	3772	NA				
P039_R1_B	2026-08-19 01:47:40.387		Media file	player #1:实验数据_校准版/P039/P039_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P039/P039_R1_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	349.666	417.533|417.533	30.000|30.000	No focal subject	349.604	GAZE_HMI	GAZE	STATE	127.200	131.199	3.999	实验数据_校准版/P039/P039_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4	3816	NA				
P039_R1_B	2026-08-19 01:47:40.387		Media file	player #1:实验数据_校准版/P039/P039_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P039/P039_R1_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	349.666	417.533|417.533	30.000|30.000	No focal subject	349.604	GAZE_PHONE	GAZE	STATE	131.200	143.299	12.099	实验数据_校准版/P039/P039_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4	3936	NA				
P039_R1_B	2026-08-19 01:47:40.387		Media file	player #1:实验数据_校准版/P039/P039_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P039/P039_R1_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	349.666	417.533|417.533	30.000|30.000	No focal subject	349.604	GAZE_HMI	GAZE	STATE	143.300	145.099	1.799	实验数据_校准版/P039/P039_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4	4299	NA				
P039_R1_B	2026-08-19 01:47:40.387		Media file	player #1:实验数据_校准版/P039/P039_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P039/P039_R1_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	349.666	417.533|417.533	30.000|30.000	No focal subject	349.604	GAZE_PHONE	GAZE	STATE	145.100	152.432	7.332	实验数据_校准版/P039/P039_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4	4353	NA				
P039_R1_B	2026-08-19 01:47:40.387		Media file	player #1:实验数据_校准版/P039/P039_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P039/P039_R1_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	349.666	417.533|417.533	30.000|30.000	No focal subject	349.604	GAZE_HMI	GAZE	STATE	152.433	153.132	0.699	实验数据_校准版/P039/P039_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4	4573	NA				
