Observation id	Observation date	Description	Observation type	Source	Time offset (s)	Coding duration	Media duration (s)	FPS (frame/s)	Subject	Observation duration by subject by observation	Behavior	Behavioral category	Behavior type	Start (s)	Stop (s)	Duration (s)	Media file name	Image index start	Image index stop	Image file path start	Image file path stop	Comment start	Comment stop
P023_R2_A	2026-08-19 20:33:50.118		Media file	player #1:实验数据_校准版/P023/P023_R2_A_BASELINE_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P023/P023_R2_A_BASELINE_SCENE_BORIS_SYNC.mp4	0.0	336.934	636.133|636.133	30.000|30.000	No focal subject	336.908	GAZE_PHONE	GAZE	STATE	268.733	314.332	45.599	实验数据_校准版/P023/P023_R2_A_BASELINE_HMI_BORIS_SYNC.mp4	8062	NA				
P023_R2_A	2026-08-19 20:33:50.118		Media file	player #1:实验数据_校准版/P023/P023_R2_A_BASELINE_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P023/P023_R2_A_BASELINE_SCENE_BORIS_SYNC.mp4	0.0	336.934	636.133|636.133	30.000|30.000	No focal subject	336.908	GAZE_HMI	GAZE	STATE	314.333	315.566	1.233	实验数据_校准版/P023/P023_R2_A_BASELINE_HMI_BORIS_SYNC.mp4	9430	NA				
P023_R2_A	2026-08-19 20:33:50.118		Media file	player #1:实验数据_校准版/P023/P023_R2_A_BASELINE_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P023/P023_R2_A_BASELINE_SCENE_BORIS_SYNC.mp4	0.0	336.934	636.133|636.133	30.000|30.000	No focal subject	336.908	GAZE_SCENE	GAZE	STATE	315.567	316.199	0.632	实验数据_校准版/P023/P023_R2_A_BASELINE_HMI_BORIS_SYNC.mp4	9467	NA				
P023_R2_A	2026-08-19 20:33:50.118		Media file	player #1:实验数据_校准版/P023/P023_R2_A_BASELINE_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P023/P023_R2_A_BASELINE_SCENE_BORIS_SYNC.mp4	0.0	336.934	636.133|636.133	30.000|30.000	No focal subject	336.908	GAZE_PHONE	GAZE	STATE	316.200	318.299	2.099	实验数据_校准版/P023/P023_R2_A_BASELINE_HMI_BORIS_SYNC.mp4	9486	NA				
P023_R2_A	2026-08-19 20:33:50.118		Media file	player #1:实验数据_校准版/P023/P023_R2_A_BASELINE_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P023/P023_R2_A_BASELINE_SCENE_BORIS_SYNC.mp4	0.0	336.934	636.133|636.133	30.000|30.000	No focal subject	336.908	GAZE_HMI	GAZE	STATE	318.300	321.866	3.566	实验数据_校准版/P023/P023_R2_A_BASELINE_HMI_BORIS_SYNC.mp4	9549	NA				
P023_R2_A	2026-08-19 20:33:50.118		Media file	player #1:实验数据_校准版/P023/P023_R2_A_BASELINE_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P023/P023_R2_A_BASELINE_SCENE_BORIS_SYNC.mp4	0.0	336.934	636.133|636.133	30.000|30.000	No focal subject	336.908	GAZE_PHONE	GAZE	STATE	321.867	366.232	44.365	实验数据_校准版/P023/P023_R2_A_BASELINE_HMI_BORIS_SYNC.mp4	9655	NA				
P023_R2_A	2026-08-19 20:33:50.118		Media file	player #1:实验数据_校准版/P023/P023_R2_A_BASELINE_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P023/P023_R2_A_BASELINE_SCENE_BORIS_SYNC.mp4	0.0	336.934	636.133|636.133	30.000|30.000	No focal subject	336.908	GAZE_HMI	GAZE	STATE	366.233	366.999	0.766	实验数据_校准版/P023/P023_R2_A_BASELINE_HMI_BORIS_SYNC.mp4	10986	NA				
P023_R2_A	2026-08-19 20:33:50.118		Media file	player #1:实验数据_校准版/P023/P023_R2_A_BASELINE_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P023/P023_R2_A_BASELINE_SCENE_BORIS_SYNC.mp4	0.0	336.934	636.133|636.133	30.000|30.000	No focal subject	336.908	GAZE_PHONE	GAZE	STATE	367.000	437.632	70.632	实验数据_校准版/P023/P023_R2_A_BASELINE_HMI_BORIS_SYNC.mp4	11009	NA				
P023_R2_A	2026-08-19 20:33:50.118		Media file	player #1:实验数据_校准版/P023/P023_R2_A_BASELINE_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P023/P023_R2_A_BASELINE_SCENE_BORIS_SYNC.mp4	0.0	336.934	636.133|636.133	30.000|30.000	No focal subject	336.908	GAZE_HMI	GAZE	STATE	437.633	438.666	1.033	实验数据_校准版/P023/P023_R2_A_BASELINE_HMI_BORIS_SYNC.mp4	13128	NA				
P023_R2_A	2026-08-19 20:33:50.118		Media file	player #1:实验数据_校准版/P023/P023_R2_A_BASELINE_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P023/P023_R2_A_BASELINE_SCENE_BORIS_SYNC.mp4	0.0	336.934	636.133|636.133	30.000|30.000	No focal subject	336.908	GAZE_SCENE	GAZE	STATE	438.667	439.532	0.865	实验数据_校准版/P023/P023_R2_A_BASELINE_HMI_BORIS_SYNC.mp4	13159	NA				
P023_R2_A	2026-08-19 20:33:50.118		Media file	player #1:实验数据_校准版/P023/P023_R2_A_BASELINE_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P023/P023_R2_A_BASELINE_SCENE_BORIS_SYNC.mp4	0.0	336.934	636.133|636.133	30.000|30.000	No focal subject	336.908	GAZE_HMI	GAZE	STATE	439.533	440.766	1.233	实验数据_校准版/P023/P023_R2_A_BASELINE_HMI_BORIS_SYNC.mp4	13185	NA				
P023_R2_A	2026-08-19 20:33:50.118		Media file	player #1:实验数据_校准版/P023/P023_R2_A_BASELINE_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P023/P023_R2_A_BASELINE_SCENE_BORIS_SYNC.mp4	0.0	336.934	636.133|636.133	30.000|30.000	No focal subject	336.908	GAZE_PHONE	GAZE	STATE	440.767	442.566	1.799	实验数据_校准版/P023/P023_R2_A_BASELINE_HMI_BORIS_SYNC.mp4	13222	NA				
P023_R2_A	2026-08-19 20:33:50.118		Media file	player #1:实验数据_校准版/P023/P023_R2_A_BASELINE_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P023/P023_R2_A_BASELINE_SCENE_BORIS_SYNC.mp4	0.0	336.934	636.133|636.133	30.000|30.000	No focal subject	336.908	GAZE_SCENE	GAZE	STATE	442.567	443.699	1.132	实验数据_校准版/P023/P023_R2_A_BASELINE_HMI_BORIS_SYNC.mp4	13276	NA				
P023_R2_A	2026-08-19 20:33:50.118		Media file	player #1:实验数据_校准版/P023/P023_R2_A_BASELINE_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P023/P023_R2_A_BASELINE_SCENE_BORIS_SYNC.mp4	0.0	336.934	636.133|636.133	30.000|30.000	No focal subject	336.908	GAZE_PHONE	GAZE	STATE	443.700	493.599	49.899	实验数据_校准版/P023/P023_R2_A_BASELINE_HMI_BORIS_SYNC.mp4	13310	NA				
