Observation id	Observation date	Description	Observation type	Source	Time offset (s)	Coding duration	Media duration (s)	FPS (frame/s)	Subject	Observation duration by subject by observation	Behavior	Behavioral category	Behavior type	Start (s)	Stop (s)	Duration (s)	Media file name	Image index start	Image index stop	Image file path start	Image file path stop	Comment start	Comment stop
P040_R1_B	2026-08-19 02:39:55.741		Media file	player #1:实验数据_校准版/P040/P040_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P040/P040_R1_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	328.066	448.800|448.800	30.000|30.000	No focal subject	328.021	GAZE_PHONE	GAZE	STATE	36.533	38.432	1.899	实验数据_校准版/P040/P040_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4	1096	NA				
P040_R1_B	2026-08-19 02:39:55.741		Media file	player #1:实验数据_校准版/P040/P040_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P040/P040_R1_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	328.066	448.800|448.800	30.000|30.000	No focal subject	328.021	GAZE_HMI	GAZE	STATE	38.433	39.132	0.699	实验数据_校准版/P040/P040_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4	1153	NA				
P040_R1_B	2026-08-19 02:39:55.741		Media file	player #1:实验数据_校准版/P040/P040_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P040/P040_R1_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	328.066	448.800|448.800	30.000|30.000	No focal subject	328.021	GAZE_SCENE	GAZE	STATE	39.133	42.799	3.666	实验数据_校准版/P040/P040_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4	1174	NA				
P040_R1_B	2026-08-19 02:39:55.741		Media file	player #1:实验数据_校准版/P040/P040_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P040/P040_R1_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	328.066	448.800|448.800	30.000|30.000	No focal subject	328.021	GAZE_HMI	GAZE	STATE	42.800	44.132	1.332	实验数据_校准版/P040/P040_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4	1284	NA				
P040_R1_B	2026-08-19 02:39:55.741		Media file	player #1:实验数据_校准版/P040/P040_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P040/P040_R1_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	328.066	448.800|448.800	30.000|30.000	No focal subject	328.021	GAZE_PHONE	GAZE	STATE	44.133	50.699	6.566	实验数据_校准版/P040/P040_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4	1324	NA				
P040_R1_B	2026-08-19 02:39:55.741		Media file	player #1:实验数据_校准版/P040/P040_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P040/P040_R1_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	328.066	448.800|448.800	30.000|30.000	No focal subject	328.021	GAZE_HMI	GAZE	STATE	50.700	51.532	0.832	实验数据_校准版/P040/P040_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4	1521	NA				
P040_R1_B	2026-08-19 02:39:55.741		Media file	player #1:实验数据_校准版/P040/P040_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P040/P040_R1_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	328.066	448.800|448.800	30.000|30.000	No focal subject	328.021	GAZE_SCENE	GAZE	STATE	51.533	52.299	0.766	实验数据_校准版/P040/P040_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4	1546	NA				
P040_R1_B	2026-08-19 02:39:55.741		Media file	player #1:实验数据_校准版/P040/P040_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P040/P040_R1_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	328.066	448.800|448.800	30.000|30.000	No focal subject	328.021	GAZE_HMI	GAZE	STATE	52.300	52.832	0.532	实验数据_校准版/P040/P040_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4	1569	NA				
P040_R1_B	2026-08-19 02:39:55.741		Media file	player #1:实验数据_校准版/P040/P040_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P040/P040_R1_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	328.066	448.800|448.800	30.000|30.000	No focal subject	328.021	GAZE_SCENE	GAZE	STATE	52.833	53.599	0.766	实验数据_校准版/P040/P040_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4	1585	NA				
P040_R1_B	2026-08-19 02:39:55.741		Media file	player #1:实验数据_校准版/P040/P040_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P040/P040_R1_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	328.066	448.800|448.800	30.000|30.000	No focal subject	328.021	GAZE_HMI	GAZE	STATE	53.600	54.132	0.532	实验数据_校准版/P040/P040_R1_B_DYNAMIC_HMI_BORIS_SYNC.mp4	1608	NA				
