Observation id	Observation date	Description	Observation type	Source	Time offset (s)	Coding duration	Media duration (s)	FPS (frame/s)	Subject	Observation duration by subject by observation	Behavior	Behavioral category	Behavior type	Start (s)	Stop (s)	Duration (s)	Media file name	Image index start	Image index stop	Image file path start	Image file path stop	Comment start	Comment stop
P029_R2_B	2026-08-19 23:08:23.346		Media file	player #1:实验数据_校准版/P029/P029_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P029/P029_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	335.467	563.433|563.433	30.000|30.000	No focal subject	335.42	GAZE_PHONE	GAZE	STATE	189.600	195.666	6.066	实验数据_校准版/P029/P029_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	5688	NA				
P029_R2_B	2026-08-19 23:08:23.346		Media file	player #1:实验数据_校准版/P029/P029_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P029/P029_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	335.467	563.433|563.433	30.000|30.000	No focal subject	335.42	GAZE_HMI	GAZE	STATE	195.667	196.999	1.332	实验数据_校准版/P029/P029_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	5870	NA				
P029_R2_B	2026-08-19 23:08:23.346		Media file	player #1:实验数据_校准版/P029/P029_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P029/P029_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	335.467	563.433|563.433	30.000|30.000	No focal subject	335.42	GAZE_SCENE	GAZE	STATE	197.000	198.666	1.666	实验数据_校准版/P029/P029_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	5910	NA				
P029_R2_B	2026-08-19 23:08:23.346		Media file	player #1:实验数据_校准版/P029/P029_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P029/P029_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	335.467	563.433|563.433	30.000|30.000	No focal subject	335.42	GAZE_HMI	GAZE	STATE	198.667	205.399	6.732	实验数据_校准版/P029/P029_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	5960	NA				
P029_R2_B	2026-08-19 23:08:23.346		Media file	player #1:实验数据_校准版/P029/P029_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P029/P029_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	335.467	563.433|563.433	30.000|30.000	No focal subject	335.42	GAZE_PHONE	GAZE	STATE	205.400	208.832	3.432	实验数据_校准版/P029/P029_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	6162	NA				
P029_R2_B	2026-08-19 23:08:23.346		Media file	player #1:实验数据_校准版/P029/P029_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P029/P029_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	335.467	563.433|563.433	30.000|30.000	No focal subject	335.42	GAZE_SCENE	GAZE	STATE	208.833	225.599	16.766	实验数据_校准版/P029/P029_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	6265	NA				
P029_R2_B	2026-08-19 23:08:23.346		Media file	player #1:实验数据_校准版/P029/P029_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P029/P029_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	335.467	563.433|563.433	30.000|30.000	No focal subject	335.42	GAZE_HMI	GAZE	STATE	225.600	237.066	11.466	实验数据_校准版/P029/P029_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	6768	NA				
P029_R2_B	2026-08-19 23:08:23.346		Media file	player #1:实验数据_校准版/P029/P029_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P029/P029_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	335.467	563.433|563.433	30.000|30.000	No focal subject	335.42	GAZE_SCENE	GAZE	STATE	237.067	240.932	3.865	实验数据_校准版/P029/P029_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	7112	NA				
P029_R2_B	2026-08-19 23:08:23.346		Media file	player #1:实验数据_校准版/P029/P029_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P029/P029_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	335.467	563.433|563.433	30.000|30.000	No focal subject	335.42	GAZE_PHONE	GAZE	STATE	240.933	262.299	21.366	实验数据_校准版/P029/P029_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	7228	NA				
P029_R2_B	2026-08-19 23:08:23.346		Media file	player #1:实验数据_校准版/P029/P029_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P029/P029_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	335.467	563.433|563.433	30.000|30.000	No focal subject	335.42	GAZE_SCENE	GAZE	STATE	262.300	265.532	3.232	实验数据_校准版/P029/P029_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	7869	NA				
P029_R2_B	2026-08-19 23:08:23.346		Media file	player #1:实验数据_校准版/P029/P029_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P029/P029_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	335.467	563.433|563.433	30.000|30.000	No focal subject	335.42	GAZE_HMI	GAZE	STATE	265.533	266.632	1.099	实验数据_校准版/P029/P029_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	7966	NA				
P029_R2_B	2026-08-19 23:08:23.346		Media file	player #1:实验数据_校准版/P029/P029_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P029/P029_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	335.467	563.433|563.433	30.000|30.000	No focal subject	335.42	GAZE_PHONE	GAZE	STATE	266.633	286.332	19.699	实验数据_校准版/P029/P029_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	7999	NA				
P029_R2_B	2026-08-19 23:08:23.346		Media file	player #1:实验数据_校准版/P029/P029_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P029/P029_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	335.467	563.433|563.433	30.000|30.000	No focal subject	335.42	GAZE_SCENE	GAZE	STATE	286.333	287.332	0.999	实验数据_校准版/P029/P029_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	8590	NA				
P029_R2_B	2026-08-19 23:08:23.346		Media file	player #1:实验数据_校准版/P029/P029_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P029/P029_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	335.467	563.433|563.433	30.000|30.000	No focal subject	335.42	GAZE_HMI	GAZE	STATE	287.333	302.732	15.399	实验数据_校准版/P029/P029_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	8620	NA				
P029_R2_B	2026-08-19 23:08:23.346		Media file	player #1:实验数据_校准版/P029/P029_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P029/P029_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	335.467	563.433|563.433	30.000|30.000	No focal subject	335.42	GAZE_OTHER	GAZE	STATE	302.733	304.732	1.999	实验数据_校准版/P029/P029_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	9082	NA				
P029_R2_B	2026-08-19 23:08:23.346		Media file	player #1:实验数据_校准版/P029/P029_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P029/P029_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	335.467	563.433|563.433	30.000|30.000	No focal subject	335.42	GAZE_PHONE	GAZE	STATE	304.733	328.332	23.599	实验数据_校准版/P029/P029_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	9142	NA				
P029_R2_B	2026-08-19 23:08:23.346		Media file	player #1:实验数据_校准版/P029/P029_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P029/P029_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	335.467	563.433|563.433	30.000|30.000	No focal subject	335.42	GAZE_SCENE	GAZE	STATE	328.333	338.599	10.266	实验数据_校准版/P029/P029_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	9850	NA				
P029_R2_B	2026-08-19 23:08:23.346		Media file	player #1:实验数据_校准版/P029/P029_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P029/P029_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	335.467	563.433|563.433	30.000|30.000	No focal subject	335.42	GAZE_HMI	GAZE	STATE	338.600	339.699	1.099	实验数据_校准版/P029/P029_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	10158	NA				
P029_R2_B	2026-08-19 23:08:23.346		Media file	player #1:实验数据_校准版/P029/P029_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P029/P029_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	335.467	563.433|563.433	30.000|30.000	No focal subject	335.42	GAZE_SCENE	GAZE	STATE	339.700	343.532	3.832	实验数据_校准版/P029/P029_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	10191	NA				
