Observation id	Observation date	Description	Observation type	Source	Time offset (s)	Coding duration	Media duration (s)	FPS (frame/s)	Subject	Observation duration by subject by observation	Behavior	Behavioral category	Behavior type	Start (s)	Stop (s)	Duration (s)	Media file name	Image index start	Image index stop	Image file path start	Image file path stop	Comment start	Comment stop
P003_R2_B	2026-08-15 20:28:19.048		Media file	player #1:实验数据_校准版/P003/P003_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P003/P003_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	319.565	389.367|389.367	30.000|30.000	No focal subject	319.532	GAZE_PHONE	GAZE	STATE	58.267	68.399	10.132	实验数据_校准版/P003/P003_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	1748	NA				
P003_R2_B	2026-08-15 20:28:19.048		Media file	player #1:实验数据_校准版/P003/P003_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P003/P003_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	319.565	389.367|389.367	30.000|30.000	No focal subject	319.532	GAZE_HMI	GAZE	STATE	68.400	69.666	1.266	实验数据_校准版/P003/P003_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	2052	NA				
P003_R2_B	2026-08-15 20:28:19.048		Media file	player #1:实验数据_校准版/P003/P003_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P003/P003_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	319.565	389.367|389.367	30.000|30.000	No focal subject	319.532	GAZE_PHONE	GAZE	STATE	69.667	87.466	17.799	实验数据_校准版/P003/P003_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	2090	NA				
P003_R2_B	2026-08-15 20:28:19.048		Media file	player #1:实验数据_校准版/P003/P003_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P003/P003_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	319.565	389.367|389.367	30.000|30.000	No focal subject	319.532	GAZE_HMI	GAZE	STATE	87.467	89.766	2.299	实验数据_校准版/P003/P003_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	2624	NA				
P003_R2_B	2026-08-15 20:28:19.048		Media file	player #1:实验数据_校准版/P003/P003_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P003/P003_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	319.565	389.367|389.367	30.000|30.000	No focal subject	319.532	GAZE_OTHER	GAZE	STATE	89.767	90.332	0.565	实验数据_校准版/P003/P003_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	2693	NA				
P003_R2_B	2026-08-15 20:28:19.048		Media file	player #1:实验数据_校准版/P003/P003_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P003/P003_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	319.565	389.367|389.367	30.000|30.000	No focal subject	319.532	GAZE_PHONE	GAZE	STATE	90.333	110.732	20.399	实验数据_校准版/P003/P003_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	2710	NA				
P003_R2_B	2026-08-15 20:28:19.048		Media file	player #1:实验数据_校准版/P003/P003_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P003/P003_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	319.565	389.367|389.367	30.000|30.000	No focal subject	319.532	GAZE_HMI	GAZE	STATE	110.733	111.399	0.666	实验数据_校准版/P003/P003_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	3322	NA				
P003_R2_B	2026-08-15 20:28:19.048		Media file	player #1:实验数据_校准版/P003/P003_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P003/P003_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	319.565	389.367|389.367	30.000|30.000	No focal subject	319.532	GAZE_PHONE	GAZE	STATE	111.400	112.832	1.432	实验数据_校准版/P003/P003_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	3342	NA				
P003_R2_B	2026-08-15 20:28:19.048		Media file	player #1:实验数据_校准版/P003/P003_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P003/P003_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	319.565	389.367|389.367	30.000|30.000	No focal subject	319.532	GAZE_SCENE	GAZE	STATE	112.833	114.132	1.299	实验数据_校准版/P003/P003_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	3385	NA				
P003_R2_B	2026-08-15 20:28:19.048		Media file	player #1:实验数据_校准版/P003/P003_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P003/P003_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	319.565	389.367|389.367	30.000|30.000	No focal subject	319.532	GAZE_PHONE	GAZE	STATE	114.133	125.966	11.833	实验数据_校准版/P003/P003_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	3424	NA				
