Observation id	Observation date	Description	Observation type	Source	Time offset (s)	Coding duration	Media duration (s)	FPS (frame/s)	Subject	Observation duration by subject by observation	Behavior	Behavioral category	Behavior type	Start (s)	Stop (s)	Duration (s)	Media file name	Image index start	Image index stop	Image file path start	Image file path stop	Comment start	Comment stop
P002_R2_B	2026-08-15 19:35:32.876		Media file	player #1:实验数据_校准版/P002/P002_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P002/P002_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	338.299	696.600|696.600	30.000|30.000	No focal subject	338.278	GAZE_HMI	GAZE	STATE	322.767	344.766	21.999	实验数据_校准版/P002/P002_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	9683	NA				
P002_R2_B	2026-08-15 19:35:32.876		Media file	player #1:实验数据_校准版/P002/P002_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P002/P002_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	338.299	696.600|696.600	30.000|30.000	No focal subject	338.278	GAZE_PHONE	GAZE	STATE	344.767	350.999	6.232	实验数据_校准版/P002/P002_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	10343	NA				
P002_R2_B	2026-08-15 19:35:32.876		Media file	player #1:实验数据_校准版/P002/P002_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P002/P002_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	338.299	696.600|696.600	30.000|30.000	No focal subject	338.278	GAZE_HMI	GAZE	STATE	351.000	358.266	7.266	实验数据_校准版/P002/P002_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	10530	NA				
P002_R2_B	2026-08-15 19:35:32.876		Media file	player #1:实验数据_校准版/P002/P002_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P002/P002_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	338.299	696.600|696.600	30.000|30.000	No focal subject	338.278	GAZE_PHONE	GAZE	STATE	358.267	368.332	10.065	实验数据_校准版/P002/P002_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	10748	NA				
P002_R2_B	2026-08-15 19:35:32.876		Media file	player #1:实验数据_校准版/P002/P002_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P002/P002_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	338.299	696.600|696.600	30.000|30.000	No focal subject	338.278	GAZE_HMI	GAZE	STATE	368.333	375.066	6.733	实验数据_校准版/P002/P002_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	11050	NA				
P002_R2_B	2026-08-15 19:35:32.876		Media file	player #1:实验数据_校准版/P002/P002_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P002/P002_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	338.299	696.600|696.600	30.000|30.000	No focal subject	338.278	GAZE_PHONE	GAZE	STATE	375.067	431.166	56.099	实验数据_校准版/P002/P002_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	11252	NA				
P002_R2_B	2026-08-15 19:35:32.876		Media file	player #1:实验数据_校准版/P002/P002_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P002/P002_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	338.299	696.600|696.600	30.000|30.000	No focal subject	338.278	GAZE_HMI	GAZE	STATE	431.167	436.732	5.565	实验数据_校准版/P002/P002_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	12935	NA				
P002_R2_B	2026-08-15 19:35:32.876		Media file	player #1:实验数据_校准版/P002/P002_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P002/P002_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	338.299	696.600|696.600	30.000|30.000	No focal subject	338.278	GAZE_PHONE	GAZE	STATE	436.733	480.466	43.733	实验数据_校准版/P002/P002_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	13103	NA				
P002_R2_B	2026-08-15 19:35:32.876		Media file	player #1:实验数据_校准版/P002/P002_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P002/P002_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	338.299	696.600|696.600	30.000|30.000	No focal subject	338.278	GAZE_HMI	GAZE	STATE	480.467	489.599	9.132	实验数据_校准版/P002/P002_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	14414	NA				
P002_R2_B	2026-08-15 19:35:32.876		Media file	player #1:实验数据_校准版/P002/P002_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P002/P002_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	338.299	696.600|696.600	30.000|30.000	No focal subject	338.278	GAZE_SCENE	GAZE	STATE	489.600	490.832	1.232	实验数据_校准版/P002/P002_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	14688	NA				
P002_R2_B	2026-08-15 19:35:32.876		Media file	player #1:实验数据_校准版/P002/P002_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P002/P002_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	338.299	696.600|696.600	30.000|30.000	No focal subject	338.278	GAZE_PHONE	GAZE	STATE	490.833	491.699	0.866	实验数据_校准版/P002/P002_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	14725	NA				
P002_R2_B	2026-08-15 19:35:32.876		Media file	player #1:实验数据_校准版/P002/P002_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P002/P002_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	338.299	696.600|696.600	30.000|30.000	No focal subject	338.278	GAZE_SCENE	GAZE	STATE	491.700	492.632	0.932	实验数据_校准版/P002/P002_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	14751	NA				
P002_R2_B	2026-08-15 19:35:32.876		Media file	player #1:实验数据_校准版/P002/P002_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P002/P002_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	338.299	696.600|696.600	30.000|30.000	No focal subject	338.278	GAZE_HMI	GAZE	STATE	492.633	520.632	27.999	实验数据_校准版/P002/P002_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	14779	NA				
P002_R2_B	2026-08-15 19:35:32.876		Media file	player #1:实验数据_校准版/P002/P002_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P002/P002_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	338.299	696.600|696.600	30.000|30.000	No focal subject	338.278	GAZE_PHONE	GAZE	STATE	520.633	547.599	26.966	实验数据_校准版/P002/P002_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	15619	NA				
P002_R2_B	2026-08-15 19:35:32.876		Media file	player #1:实验数据_校准版/P002/P002_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P002/P002_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	338.299	696.600|696.600	30.000|30.000	No focal subject	338.278	GAZE_SCENE	GAZE	STATE	547.600	549.599	1.999	实验数据_校准版/P002/P002_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	16428	NA				
P002_R2_B	2026-08-15 19:35:32.876		Media file	player #1:实验数据_校准版/P002/P002_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P002/P002_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	338.299	696.600|696.600	30.000|30.000	No focal subject	338.278	GAZE_HMI	GAZE	STATE	549.600	571.632	22.032	实验数据_校准版/P002/P002_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	16488	NA				
P002_R2_B	2026-08-15 19:35:32.876		Media file	player #1:实验数据_校准版/P002/P002_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P002/P002_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	338.299	696.600|696.600	30.000|30.000	No focal subject	338.278	GAZE_SCENE	GAZE	STATE	571.633	573.866	2.233	实验数据_校准版/P002/P002_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	17149	NA				
P002_R2_B	2026-08-15 19:35:32.876		Media file	player #1:实验数据_校准版/P002/P002_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P002/P002_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	338.299	696.600|696.600	30.000|30.000	No focal subject	338.278	GAZE_HMI	GAZE	STATE	573.867	597.532	23.665	实验数据_校准版/P002/P002_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	17216	NA				
P002_R2_B	2026-08-15 19:35:32.876		Media file	player #1:实验数据_校准版/P002/P002_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P002/P002_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	338.299	696.600|696.600	30.000|30.000	No focal subject	338.278	GAZE_PHONE	GAZE	STATE	597.533	632.599	35.066	实验数据_校准版/P002/P002_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	17926	NA				
P002_R2_B	2026-08-15 19:35:32.876		Media file	player #1:实验数据_校准版/P002/P002_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P002/P002_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	338.299	696.600|696.600	30.000|30.000	No focal subject	338.278	GAZE_HMI	GAZE	STATE	632.600	647.266	14.666	实验数据_校准版/P002/P002_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	18979	NA				
P002_R2_B	2026-08-15 19:35:32.876		Media file	player #1:实验数据_校准版/P002/P002_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P002/P002_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	338.299	696.600|696.600	30.000|30.000	No focal subject	338.278	GAZE_SCENE	GAZE	STATE	647.267	648.799	1.532	实验数据_校准版/P002/P002_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	19418	NA				
P002_R2_B	2026-08-15 19:35:32.876		Media file	player #1:实验数据_校准版/P002/P002_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4|player #2:实验数据_校准版/P002/P002_R2_B_DYNAMIC_SCENE_BORIS_SYNC.mp4	0.0	338.299	696.600|696.600	30.000|30.000	No focal subject	338.278	GAZE_PHONE	GAZE	STATE	648.800	661.066	12.266	实验数据_校准版/P002/P002_R2_B_DYNAMIC_HMI_BORIS_SYNC.mp4	19464	NA				
